"iso","adm1","adm2","alert__year","alert__week","alert__count","confidence__cat"
"ESP",12,2,2022,32,3,"n"
"ESP",12,1,2017,11,5,"n"
"ESP",12,4,2022,31,27,"n"
"ESP",12,4,2017,43,3,"n"
"ESP",12,3,2018,40,8,"n"
"ESP",12,2,2023,13,1,"h"
"ESP",12,1,2019,36,10,"n"
"ESP",12,4,2018,32,2,"n"
"ESP",12,2,2022,30,3,"n"
"ESP",12,1,2022,29,1,"n"
"ESP",12,4,2017,34,2,"n"
"ESP",12,1,2015,42,1,"n"
"ESP",12,3,2023,9,1,"l"
"ESP",12,2,2017,38,1,"n"
"ESP",12,2,2012,9,4,"n"
"ESP",12,4,2012,10,2,"n"
"ESP",12,1,2019,37,2,"n"
"ESP",12,3,2017,37,1,"l"
"ESP",12,2,2014,16,1,"n"
"ESP",12,4,2017,34,1,"h"
"ESP",12,3,2022,24,4,"n"
"ESP",12,4,2017,32,3,"l"
"ESP",12,3,2017,41,14,"l"
"ESP",12,2,2014,30,3,"n"
"ESP",12,1,2013,27,1,"h"
"ESP",12,3,2018,43,4,"n"
"ESP",12,3,2012,38,3,"h"
"ESP",12,4,2012,9,1,"l"
"ESP",12,4,2019,37,1,"l"
"ESP",12,4,2015,15,3,"n"
"ESP",12,3,2019,9,3,"n"
"ESP",12,2,2017,30,3,"n"
"ESP",12,1,2017,28,6,"n"
"ESP",12,1,2017,17,1,"h"
"ESP",12,1,2015,32,17,"n"
"ESP",12,2,2019,12,4,"n"
"ESP",12,2,2018,35,1,"l"
"ESP",12,3,2013,48,1,"l"
"ESP",12,1,2019,9,2,"n"
"ESP",12,2,2012,37,3,"n"
"ESP",12,2,2024,12,2,"n"
"ESP",12,3,2018,16,1,"l"
"ESP",12,3,2015,36,4,"h"
"ESP",12,1,2012,13,21,"n"
"ESP",12,3,2019,14,1,"n"
"ESP",12,3,2017,34,9,"h"
"ESP",12,4,2015,12,2,"n"
"ESP",12,4,2013,35,44,"h"
"ESP",12,3,2020,26,1,"l"
"ESP",12,3,2018,20,2,"l"
"ESP",12,4,2013,37,11,"n"
"ESP",12,2,2015,30,14,"n"
"ESP",12,3,2020,29,1,"l"
"ESP",12,1,2015,33,2,"n"
"ESP",12,2,2017,33,1,"h"
"ESP",12,1,2018,35,1,"h"
"ESP",12,3,2012,29,7,"h"
"ESP",12,3,2014,23,1,"n"
"ESP",12,3,2021,28,1,"h"
"ESP",12,2,2018,35,2,"h"
"ESP",12,3,2020,31,2,"h"
"ESP",12,2,2021,28,1,"l"
"ESP",12,4,2012,35,5,"n"
"ESP",12,1,2019,35,1,"n"
"ESP",12,3,2013,27,1,"h"
"ESP",12,3,2013,35,4,"h"
"ESP",12,1,2018,19,3,"n"
"ESP",12,3,2016,33,3,"l"
"ESP",12,1,2019,13,6,"l"
"ESP",12,4,2024,16,3,"h"
"ESP",12,4,2019,37,3,"n"
"ESP",12,4,2022,21,1,"n"
"ESP",12,3,2015,29,14,"n"
"ESP",12,2,2016,26,1,"n"
"ESP",12,1,2013,16,3,"n"
"ESP",12,3,2020,36,21,"n"
"ESP",12,1,2016,26,3,"n"
"ESP",12,3,2013,1,1,"l"
"ESP",12,2,2016,36,7,"n"
"ESP",12,1,2015,11,2,"n"
"ESP",12,3,2017,4,2,"n"
"ESP",12,3,2012,32,25,"n"
"ESP",12,3,2019,11,3,"n"
"ESP",12,2,2013,26,1,"n"
"ESP",12,4,2020,31,3,"n"
"ESP",12,2,2024,14,1,"n"
"ESP",12,3,2018,39,2,"l"
"ESP",12,3,2017,16,4,"n"
"ESP",12,2,2021,46,1,"n"
"ESP",12,3,2017,38,1,"l"
"ESP",12,1,2023,9,2,"n"
"ESP",12,1,2020,9,1,"n"
"ESP",12,3,2017,41,98,"n"
"ESP",12,2,2016,40,1,"h"
"ESP",12,1,2013,41,1,"l"
"ESP",12,2,2016,34,1,"n"
"ESP",12,4,2012,7,2,"n"
"ESP",12,4,2015,12,2,"l"
"ESP",12,3,2018,35,1,"h"
"ESP",12,3,2014,11,6,"n"
"ESP",12,2,2013,38,2,"h"
"ESP",12,3,2015,15,2,"l"
"ESP",12,2,2022,19,4,"n"
"ESP",12,4,2016,17,1,"n"
"ESP",12,3,2013,33,1,"h"
"ESP",12,1,2022,6,4,"n"
"ESP",12,3,2018,21,1,"n"
"ESP",12,1,2019,22,2,"n"
"ESP",12,2,2018,35,2,"n"
"ESP",12,3,2012,7,2,"n"
"ESP",12,3,2018,9,1,"n"
"ESP",12,3,2015,10,2,"l"
"ESP",12,1,2019,21,1,"n"
"ESP",12,2,2013,36,4,"n"
"ESP",12,2,2019,37,6,"n"
"ESP",12,2,2019,38,1,"n"
"ESP",12,3,2012,37,3,"h"
"ESP",12,2,2016,18,1,"l"
"ESP",12,3,2021,34,1,"n"
"ESP",12,3,2020,38,5,"l"
"ESP",12,3,2016,31,1,"h"
"ESP",12,3,2015,20,2,"h"
"ESP",12,3,2015,42,1,"n"
"ESP",12,2,2015,29,3,"h"
"ESP",12,4,2018,40,4,"n"
"ESP",12,3,2017,42,4,"n"
"ESP",12,1,2013,34,1,"n"
"ESP",12,3,2020,35,1,"n"
"ESP",12,3,2017,10,2,"n"
"ESP",12,3,2012,35,1,"n"
"ESP",12,3,2018,37,5,"n"
"ESP",12,2,2017,32,7,"n"
"ESP",12,3,2022,10,1,"n"
"ESP",12,1,2018,46,1,"n"
"ESP",12,3,2020,27,1,"n"
"ESP",12,1,2021,14,1,"l"
"ESP",12,2,2019,9,2,"n"
"ESP",12,1,2013,23,4,"n"
"ESP",12,4,2016,5,2,"n"
"ESP",12,3,2020,33,2,"n"
"ESP",12,1,2016,17,8,"n"
"ESP",12,2,2014,11,1,"l"
"ESP",12,3,2022,33,2,"h"
"ESP",12,3,2022,3,2,"n"
"ESP",12,3,2015,34,2,"h"
"ESP",12,3,2021,12,5,"n"
"ESP",12,2,2022,4,1,"n"
"ESP",12,2,2013,32,1,"l"
"ESP",12,1,2023,14,1,"h"
"ESP",12,4,2016,32,34,"h"
"ESP",12,3,2014,20,7,"n"
"ESP",12,4,2015,1,1,"l"
"ESP",12,3,2022,34,34,"n"
"ESP",12,3,2015,26,2,"n"
"ESP",12,1,2012,45,1,"n"
"ESP",12,3,2020,31,9,"n"
"ESP",12,3,2023,41,8,"h"
"ESP",12,4,2016,29,1,"h"
"ESP",12,2,2020,36,1,"h"
"ESP",12,3,2019,9,2,"h"
"ESP",12,3,2012,10,13,"n"
"ESP",12,2,2021,23,1,"h"
"ESP",12,2,2013,37,1,"h"
"ESP",12,3,2020,37,43,"h"
"ESP",12,3,2020,32,4,"h"
"ESP",12,1,2020,12,1,"n"
"ESP",12,1,2013,17,5,"n"
"ESP",12,1,2015,31,1,"n"
"ESP",12,3,2015,33,7,"n"
"ESP",12,1,2016,35,11,"n"
"ESP",12,3,2017,40,4,"l"
"ESP",12,2,2017,11,3,"n"
"ESP",12,3,2017,27,1,"n"
"ESP",12,3,2023,34,1,"h"
"ESP",12,3,2018,38,3,"n"
"ESP",12,3,2014,11,1,"l"
"ESP",12,3,2019,13,6,"n"
"ESP",12,1,2018,40,6,"n"
"ESP",12,1,2017,16,10,"h"
"ESP",12,3,2012,8,2,"h"
"ESP",12,4,2017,25,3,"n"
"ESP",12,3,2023,41,4,"n"
"ESP",12,2,2012,13,1,"h"
"ESP",12,1,2013,29,1,"l"
"ESP",12,3,2019,37,3,"n"
"ESP",12,4,2022,28,2,"h"
"ESP",12,2,2021,12,1,"l"
"ESP",12,1,2021,11,5,"n"
"ESP",12,1,2020,29,1,"h"
"ESP",12,3,2016,37,8,"n"
"ESP",12,4,2016,35,2,"n"
"ESP",12,3,2017,39,1,"h"
"ESP",12,3,2016,23,2,"n"
"ESP",12,2,2018,24,1,"l"
"ESP",12,1,2013,37,42,"h"
"ESP",12,4,2014,20,1,"n"
"ESP",12,1,2022,34,2,"n"
"ESP",12,4,2013,9,3,"n"
"ESP",12,3,2023,13,1,"n"
"ESP",12,2,2015,15,1,"n"
"ESP",12,4,2016,36,2,"n"
"ESP",12,4,2017,41,14,"l"
"ESP",12,1,2022,31,14,"h"
"ESP",12,3,2020,9,4,"h"
"ESP",12,3,2017,15,7,"n"
"ESP",12,3,2015,31,6,"h"
"ESP",12,3,2022,19,1,"n"
"ESP",12,3,2024,6,2,"n"
"ESP",12,3,2023,7,3,"n"
"ESP",12,3,2018,19,5,"n"
"ESP",12,3,2016,31,1,"n"
"ESP",12,3,2021,23,1,"l"
"ESP",12,3,2013,23,1,"l"
"ESP",12,2,2020,32,2,"h"
"ESP",12,3,2022,35,1,"l"
"ESP",12,3,2020,30,16,"h"
"ESP",12,1,2021,27,4,"n"
"ESP",12,3,2019,14,1,"h"
"ESP",12,3,2024,12,1,"n"
"ESP",12,2,2013,35,19,"n"
"ESP",12,1,2019,38,1,"l"
"ESP",12,3,2020,36,1,"l"
"ESP",12,3,2013,35,14,"n"
"ESP",12,1,2022,31,9,"l"
"ESP",12,2,2021,35,1,"n"
"ESP",12,3,2019,1,3,"h"
"ESP",12,1,2016,32,31,"h"
"ESP",12,2,2012,10,6,"h"
"ESP",12,3,2013,39,1,"l"
"ESP",12,1,2018,39,2,"n"
"ESP",12,3,2022,30,6,"n"
"ESP",12,3,2020,21,1,"n"
"ESP",12,3,2015,37,5,"n"
"ESP",12,3,2021,36,8,"n"
"ESP",12,2,2016,33,1,"l"
"ESP",12,3,2019,13,2,"h"
"ESP",12,3,2015,27,6,"h"
"ESP",12,3,2013,33,1,"l"
"ESP",12,3,2022,31,1,"l"
"ESP",12,2,2012,32,1,"l"
"ESP",12,4,2016,32,12,"l"
"ESP",12,4,2014,12,3,"n"
"ESP",12,4,2018,39,1,"n"
"ESP",12,4,2022,28,5,"n"
"ESP",12,3,2015,52,1,"l"
"ESP",12,3,2014,36,1,"n"
"ESP",12,2,2021,12,6,"n"
"ESP",12,2,2018,40,1,"h"
"ESP",12,2,2015,32,2,"n"
"ESP",12,3,2016,27,1,"n"
"ESP",12,1,2022,15,2,"n"
"ESP",12,2,2017,34,11,"n"
"ESP",12,1,2013,39,1,"n"
"ESP",12,1,2012,13,2,"l"
"ESP",12,2,2019,36,12,"n"
"ESP",12,3,2016,35,8,"n"
"ESP",12,2,2014,12,1,"h"
"ESP",12,1,2021,23,2,"n"
"ESP",12,1,2021,14,5,"n"
"ESP",12,1,2012,9,9,"n"
"ESP",12,1,2017,16,18,"n"
"ESP",12,3,2016,36,57,"h"
"ESP",12,3,2016,32,25,"n"
"ESP",12,3,2022,32,38,"n"
"ESP",12,4,2012,20,1,"n"
"ESP",12,3,2022,23,2,"n"
"ESP",12,4,2014,15,1,"n"
"ESP",12,4,2020,28,1,"l"
"ESP",12,2,2016,37,4,"n"
"ESP",12,3,2015,8,2,"n"
"ESP",12,4,2017,33,5,"n"
"ESP",12,4,2018,20,1,"n"
"ESP",12,1,2019,36,8,"h"
"ESP",12,1,2023,25,1,"n"
"ESP",12,3,2018,32,2,"n"
"ESP",12,4,2019,36,5,"n"
"ESP",12,1,2024,17,2,"n"
"ESP",12,3,2018,37,4,"h"
"ESP",12,4,2017,32,5,"n"
"ESP",12,2,2019,31,2,"n"
"ESP",12,4,2022,30,5,"l"
"ESP",12,4,2017,31,1,"n"
"ESP",12,2,2020,37,4,"n"
"ESP",12,3,2020,32,26,"n"
"ESP",12,3,2012,13,7,"h"
"ESP",12,4,2012,9,2,"h"
"ESP",12,3,2013,34,8,"h"
"ESP",12,3,2020,31,1,"l"
"ESP",12,3,2016,52,9,"n"
"ESP",12,2,2022,15,2,"n"
"ESP",12,3,2015,31,5,"n"
"ESP",12,4,2017,35,1,"l"
"ESP",12,3,2016,25,1,"n"
"ESP",12,3,2016,17,3,"n"
