time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),is_day (),sunshine_duration (s),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),year_weather,season_weather,month_weather,week_weather,day_of_week_weather,hour_weather,day_of_month_weather,day_of_year_weather,latitude,longitude,brightness,scan,track,acq_date,acq_time,confidence,bright_t31,frp,daynight,type,datetime,year_fire,season_fire,month_fire,week_fire,day_of_week_fire,hour_fire,day_of_month_fire,day_of_year_fire
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.3514,-7.1164,312.9,1.1,1.0,2003-08-09,22:00:00,86.0,290.6,14.1,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.9996,-7.091,309.5,1.1,1.1,2003-08-09,22:00:00,78.0,291.1,11.8,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,43.0013,-7.1044,326.8,1.1,1.1,2003-08-09,22:00:00,100.0,291.5,30.5,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,43.3411,-6.9618,331.9,1.1,1.0,2003-08-09,22:00:00,100.0,292.0,37.5,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.9782,-7.1514,306.0,1.1,1.1,2003-08-09,22:00:00,67.0,289.7,8.9,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.986,-7.1365,327.1,1.1,1.1,2003-08-09,22:00:00,100.0,290.8,30.3,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.1495,-8.587,310.4,1.2,1.1,2003-08-09,22:00:00,80.0,295.0,11.5,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-09 22:00:00,24.2,80.0,20.4,0.0,1015.2,955.3,9.0,0.04,0.61,9.9,21.6,26.9,25.4,20.3,15.3,0.122,0.206,0.26,0.349,0.0,26.81,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0,42.9833,-6.8075,308.2,1.1,1.0,2003-08-09,22:00:00,74.0,290.1,9.9,N,0.0,2003-08-09 22:00:00,2003.0,3.0,8.0,32,6.0,23.0,9.0,221.0
2003-08-23 12:00:00,25.4,53.0,15.1,0.0,1016.9,957.2,32.0,0.41,1.52,6.9,17.3,25.5,21.8,20.3,16.5,0.112,0.167,0.241,0.341,1.0,3600.0,663.8,561.2,102.5,805.1,932.4,2003.0,3.0,8.0,34,6.0,13.0,23.0,235.0,42.2939,-7.7067,320.3,1.9,1.4,2003-08-23,12:00:00,72.0,305.9,28.4,D,0.0,2003-08-23 12:00:00,2003.0,3.0,8.0,34,6.0,13.0,23.0,235.0
2003-08-23 12:00:00,25.4,53.0,15.1,0.0,1016.9,957.2,32.0,0.41,1.52,6.9,17.3,25.5,21.8,20.3,16.5,0.112,0.167,0.241,0.341,1.0,3600.0,663.8,561.2,102.5,805.1,932.4,2003.0,3.0,8.0,34,6.0,13.0,23.0,235.0,42.0398,-6.9784,312.8,2.1,1.4,2003-08-23,12:00:00,53.0,296.6,20.0,D,0.0,2003-08-23 12:00:00,2003.0,3.0,8.0,34,6.0,13.0,23.0,235.0
2003-08-23 12:00:00,25.4,53.0,15.1,0.0,1016.9,957.2,32.0,0.41,1.52,6.9,17.3,25.5,21.8,20.3,16.5,0.112,0.167,0.241,0.341,1.0,3600.0,663.8,561.2,102.5,805.1,932.4,2003.0,3.0,8.0,34,6.0,13.0,23.0,235.0,42.0392,-6.972,315.6,2.1,1.4,2003-08-23,12:00:00,63.0,296.1,28.4,D,0.0,2003-08-23 12:00:00,2003.0,3.0,8.0,34,6.0,13.0,23.0,235.0
2003-08-25 22:00:00,16.0,74.0,11.4,0.0,1018.8,957.1,37.0,0.03,0.46,5.7,15.8,19.2,21.2,20.5,16.7,0.131,0.163,0.238,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0,42.4137,-7.6601,324.6,1.1,1.1,2003-08-25,22:00:00,100.0,288.1,28.8,N,0.0,2003-08-25 22:00:00,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0
2003-08-25 22:00:00,16.0,74.0,11.4,0.0,1018.8,957.1,37.0,0.03,0.46,5.7,15.8,19.2,21.2,20.5,16.7,0.131,0.163,0.238,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0,42.7992,-7.0575,306.3,1.1,1.0,2003-08-25,22:00:00,68.0,285.2,11.4,N,0.0,2003-08-25 22:00:00,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0
2003-08-25 22:00:00,16.0,74.0,11.4,0.0,1018.8,957.1,37.0,0.03,0.46,5.7,15.8,19.2,21.2,20.5,16.7,0.131,0.163,0.238,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0,42.4153,-7.6734,315.9,1.1,1.1,2003-08-25,22:00:00,92.0,286.9,18.6,N,0.0,2003-08-25 22:00:00,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0
2003-08-25 22:00:00,16.0,74.0,11.4,0.0,1018.8,957.1,37.0,0.03,0.46,5.7,15.8,19.2,21.2,20.5,16.7,0.131,0.163,0.238,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0,42.4232,-7.6583,306.2,1.1,1.1,2003-08-25,22:00:00,67.0,289.4,10.6,N,0.0,2003-08-25 22:00:00,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0
2003-08-25 22:00:00,16.0,74.0,11.4,0.0,1018.8,957.1,37.0,0.03,0.46,5.7,15.8,19.2,21.2,20.5,16.7,0.131,0.163,0.238,0.339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0,42.4249,-7.6723,300.8,1.1,1.1,2003-08-25,22:00:00,34.0,288.8,6.8,N,0.0,2003-08-25 22:00:00,2003.0,3.0,8.0,35,1.0,23.0,25.0,237.0
2004-03-28 11:00:00,3.8,69.0,-1.5,0.0,1011.4,947.5,0.0,0.12,0.25,21.8,43.6,4.3,4.9,7.6,8.4,0.335,0.35,0.365,0.391,1.0,3600.0,460.3,376.5,83.8,807.9,640.1,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0,42.3497,-8.2424,312.1,2.1,1.4,2004-03-28,11:00:00,72.0,284.3,36.7,D,0.0,2004-03-28 11:00:00,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0
2004-03-28 11:00:00,3.8,69.0,-1.5,0.0,1011.4,947.5,0.0,0.12,0.25,21.8,43.6,4.3,4.9,7.6,8.4,0.335,0.35,0.365,0.391,1.0,3600.0,460.3,376.5,83.8,807.9,640.1,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0,41.8757,-7.359,305.2,1.8,1.3,2004-03-28,11:00:00,42.0,286.9,15.7,D,0.0,2004-03-28 11:00:00,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0
2004-03-28 11:00:00,3.8,69.0,-1.5,0.0,1011.4,947.5,0.0,0.12,0.25,21.8,43.6,4.3,4.9,7.6,8.4,0.335,0.35,0.365,0.391,1.0,3600.0,460.3,376.5,83.8,807.9,640.1,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0,42.3515,-8.2671,312.9,2.1,1.4,2004-03-28,11:00:00,73.0,284.4,39.4,D,0.0,2004-03-28 11:00:00,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0
2004-03-28 11:00:00,3.8,69.0,-1.5,0.0,1011.4,947.5,0.0,0.12,0.25,21.8,43.6,4.3,4.9,7.6,8.4,0.335,0.35,0.365,0.391,1.0,3600.0,460.3,376.5,83.8,807.9,640.1,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0,41.8776,-7.3806,322.3,1.8,1.3,2004-03-28,11:00:00,82.0,286.7,49.0,D,0.0,2004-03-28 11:00:00,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0
2004-03-28 11:00:00,3.8,69.0,-1.5,0.0,1011.4,947.5,0.0,0.12,0.25,21.8,43.6,4.3,4.9,7.6,8.4,0.335,0.35,0.365,0.391,1.0,3600.0,460.3,376.5,83.8,807.9,640.1,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0,41.8709,-7.375,304.9,1.8,1.3,2004-03-28,11:00:00,37.0,287.0,15.2,D,0.0,2004-03-28 11:00:00,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0
2004-03-28 11:00:00,3.8,69.0,-1.5,0.0,1011.4,947.5,0.0,0.12,0.25,21.8,43.6,4.3,4.9,7.6,8.4,0.335,0.35,0.365,0.391,1.0,3600.0,460.3,376.5,83.8,807.9,640.1,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0,41.9752,-7.1065,303.9,1.8,1.3,2004-03-28,11:00:00,48.0,284.8,15.1,D,0.0,2004-03-28 11:00:00,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0
2004-03-28 11:00:00,3.8,69.0,-1.5,0.0,1011.4,947.5,0.0,0.12,0.25,21.8,43.6,4.3,4.9,7.6,8.4,0.335,0.35,0.365,0.391,1.0,3600.0,460.3,376.5,83.8,807.9,640.1,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0,41.9368,-7.8958,312.6,2.0,1.4,2004-03-28,11:00:00,69.0,285.4,34.5,D,0.0,2004-03-28 11:00:00,2004.0,2.0,3.0,13,7.0,12.0,28.0,88.0
