year,month,gid_0,country,gid_1,region,CO2,CO,TPM,PM25,TPC,NMHC,OC,CH4,SO2,BC,NOx
2006,8,ESP,Spain,ESP.12_1,Galicia,3546581.059,163093.136,27643.648,20972.603,13548.088,12881.306,12582.935,5923.372,1640.214,954.815,6250.449
2006,9,ESP,Spain,ESP.12_1,Galicia,112453.382,5592.165,1012.847,747.887,531.266,487.586,498.414,212.89,60.881,32.673,170.843
2006,10,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,11,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,12,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,1,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,2,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,3,ESP,Spain,ESP.12_1,Galicia,6178.199,264.025,41.403,32.346,18.485,18.627,16.906,9.16,2.409,1.553,12.251
2007,4,ESP,Spain,ESP.12_1,Galicia,7491.606,382.701,72.338,53.308,39.53,34.615,37.314,14.546,4.429,2.208,10.351
2007,5,ESP,Spain,ESP.12_1,Galicia,2282.886,123.016,16.973,10.77,5.95,10.738,5.117,5.909,0.764,0.829,4.419
2007,6,ESP,Spain,ESP.12_1,Galicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,7,ESP,Spain,ESP.12_1,Galicia,4555.282,245.922,38.342,25.661,16.613,22.126,15.022,11.154,1.97,1.584,7.771
2007,8,ESP,Spain,ESP.12_1,Galicia,552.213,29.505,5.901,4.325,3.386,2.816,3.219,1.127,0.369,0.168,0.644
2007,9,ESP,Spain,ESP.12_1,Galicia,55634.315,2902.733,510.232,363.868,258.338,261.862,240.751,118.789,29.464,17.526,83.901
2007,10,ESP,Spain,ESP.12_1,Galicia,18809.388,957.014,154.305,108.505,70.43,82.488,64.435,40.289,8.408,5.959,32.374
2007,11,ESP,Spain,ESP.12_1,Galicia,92170.009,4451.852,749.913,551.613,363.411,369.546,336.535,172.411,43.33,26.66,157.427
2007,12,ESP,Spain,ESP.12_1,Galicia,752.53,40.208,8.042,5.894,4.615,3.838,4.386,1.535,0.503,0.228,0.877
2008,1,ESP,Spain,ESP.12_1,Galicia,3347.947,140.618,22.331,17.696,10.162,9.73,9.332,4.711,1.323,0.816,6.636
2008,2,ESP,Spain,ESP.12_1,Galicia,44258.666,2120.697,380.895,286.327,198.537,177.984,186.179,77.743,23.102,12.264,70.51
2008,3,ESP,Spain,ESP.12_1,Galicia,9994.119,403.286,60.871,49.151,25.869,25.882,23.471,13.152,3.557,2.35,20.987
2008,4,ESP,Spain,ESP.12_1,Galicia,8862.174,436.396,78.182,57.862,40.567,37.581,37.997,16.558,4.683,2.554,13.801
