year,month,gid_0,country,gid_1,region,pollutant,closed_shrublands,croplands,forest,grassland,open_shrublands,peatlands,savanna,woody_savanna
2010,7,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,293.26668,5.7206535,9.2088569
2010,7,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,1929.6097,141.96022,228.52133
2010,7,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.018482111,0.029751691
2010,7,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.34323922,0.55253143
2010,8,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,66.102849,1.4169618,0.0,176.81005,4.6557317,31.444704
2010,8,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,1504.8947,40.044574,0.0,1759.6001,131.57503,888.65469
2010,8,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,22067.101,993.72151,0.0,11577.658,3265.085,22052.308
2010,8,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,3.6567534,0.12937477,0.0,0.0,0.42508855,2.8710381
2010,8,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,42.19331,2.4026745,0.0,0.0,7.894502,53.319283
2010,9,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,20.339338,1.2145387,0.0,29.468341,3.6436161,19.714037
2010,9,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,463.04453,34.323921,0.0,293.26668,102.97176,557.13584
2010,9,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,6789.8773,851.7613,0.0,1929.6097,2555.2839,13825.54
2010,9,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,1.1251549,0.11089266,0.0,0.0,0.33267799,1.7999773
2010,9,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,12.982557,2.0594353,0.0,0.0,6.1783059,33.428151
2010,10,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32585185
2010,10,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2088569
2010,10,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.52133
2010,10,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029751691
2010,10,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55253143
2010,11,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,11,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,11,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,11,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,11,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,12,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,1,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.20242312,0.0
2011,1,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,0.0,0.0,0.0,5.7206535,0.0
2011,1,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,0.0,0.0,0.0,141.96022,0.0
2011,1,ESP,Spain,ESP.12_1,Galicia,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.018482111,0.0
2011,1,ESP,Spain,ESP.12_1,Galicia,nox,0.0,0.0,0.0,0.0,0.0,0.0,0.34323922,0.0
2011,2,ESP,Spain,ESP.12_1,Galicia,ch4,0.0,0.0,0.0,0.20242312,0.0,0.0,0.0,1.4663333
2011,2,ESP,Spain,ESP.12_1,Galicia,co,0.0,0.0,0.0,5.7206535,0.0,0.0,0.0,41.439856
2011,2,ESP,Spain,ESP.12_1,Galicia,co2,0.0,0.0,0.0,141.96022,0.0,0.0,0.0,1028.346
